fecha,86F7,23E2,9735,8585,82E2,FB8A,9A05,3FB0,9B06,7B17,76B3,A54A,0E5B,9148,A528,77CA,C146,853B,4B0E,82B2,8E36,BF25,9B5A,79CB,8CD4,7F8E,D5D4,6BAC,D720,883B
17-1-2020 20:01,26.5,27,26,26.5,29.5,26.5,27.5,27.5,28,27,27,28,27.5,27,27,28,28.5,28,28,29,27.5,28,29,29,29.5,29,29.5,29,28.5,30
17-1-2020 20:06,26.5,27,26,26.5,29.5,26.5,27,27,28,27,27,28,27.5,27,27,28,28.5,28,28,29,27.5,28,28.5,29,29.5,28.5,29.5,29,28.5,29.5
17-1-2020 20:11,26.5,27,26,26.5,29.5,26.5,27,27,28,27,27,28,27.5,27,27,27.5,28.5,28,28,29,27.5,27.5,28.5,29,29.5,28.5,29.5,29,28.5,29.5
17-1-2020 20:16,26.5,27,26,26.5,29.5,26.5,27,27,28,27,27,28,27.5,27,27,27.5,28.5,28,28,28.5,27.5,27.5,28.5,29,29,28.5,29.5,29,28.5,29.5
17-1-2020 20:21,26.5,27,26,26.5,29.5,26.5,27,27,28,27,27,28,27.5,27,27,27.5,28.5,28,28,28.5,27.5,27.5,28.5,28.5,29,28.5,29.5,29,28.5,29
17-1-2020 20:26,26.5,26.5,26,26.5,29.5,26.5,27,27,27.5,27,27,28,27.5,27,27,27.5,28.5,28,28,28.5,27.5,27.5,28.5,28.5,29,28.5,29.5,28.5,28.5,29
17-1-2020 20:31,26.5,26.5,26,26.5,29.5,26.5,27,27,27.5,27,27,28,27.5,27,27,27.5,28.5,28,28,28.5,27.5,27.5,28.5,28.5,29,28.5,29,28.5,28.5,29
17-1-2020 20:36,26.5,26.5,26,26.5,29,26.5,27,27,27.5,27,27,28,27.5,27,27,27.5,28.5,28,28,28.5,27.5,27.5,28.5,28.5,29,28.5,29,28.5,28.5,28.5
17-1-2020 20:41,26.5,26.5,26,26.5,29,26.5,27,27,27.5,27,27,28,27.5,27,27,27.5,28.5,28,28,28.5,27.5,27.5,28,28.5,29,28.5,29,28.5,28.5,28.5
17-1-2020 20:46,26.5,26.5,26,26.5,29,26.5,27,27,27.5,27,27,27.5,27.5,27,27,27.5,28,28,28,28.5,27.5,27.5,28,28.5,28.5,28,29,28.5,28,28
